# f_refined_uHz   power_obs       FAP_global    SNR_local
    3.245982  4.044192e+12    0.003322     12.1340
    8.304255  3.211229e+12    0.003322     11.4527
    5.475484  6.702176e+11    0.003322      5.0318
   10.709138  6.529840e+11    0.003322      5.3630
   12.519885  5.128404e+11    0.003322      4.9230
    7.352171  4.946720e+11    0.003322      4.3166
    2.319068  4.682245e+11    0.003322      3.9690
   16.340582  4.318883e+11    0.003322      4.7791
