# i  f_bin_uHz  f_refined_uHz  power         amp           SNR
   158      8.228220      8.249762  7.301918e+12  1.284158e+02     8.298
    53      3.291745      3.280313  6.895693e+12  1.254234e+02     6.781
    34      2.398478      2.390118  5.387600e+12  1.109220e+02     5.970
   116      6.253630      6.272469  4.715113e+12  1.032626e+02     6.266
   134      7.099883      7.106854  4.609928e+12  1.026327e+02     6.336
   148      7.758080      7.753707  4.329340e+12  9.950130e+01     6.349
   169      8.745375      8.736527  4.147469e+12  9.730819e+01     6.336
    74      4.279040      4.292520  2.851825e+12  8.065151e+01     4.639
