# i  f_bin_uHz  f_refined_uHz  power         amp           SNR
    95      3.252007      3.245982  4.045435e+12  1.656181e+02    12.134
   308      8.301244      8.304255  3.211471e+12  1.475800e+02    11.453
   189      5.480309      5.475484  6.703598e+11  6.742172e+01     5.032
   410     10.719189     10.709138  6.535696e+11  6.654925e+01     5.363
   486     12.520794     12.519885  5.128453e+11  5.897705e+01     4.923
   268      7.353031      7.352171  4.946771e+11  5.792293e+01     4.317
    56      2.327499      2.319068  4.687909e+11  5.635325e+01     3.969
   647     16.337354     16.340582  4.319256e+11  5.412247e+01     4.779
