# f_refined_uHz   power_obs       FAP_global    SNR_local
    6.586893  1.437434e+12    0.003322     10.8756
    8.111858  1.266391e+12    0.003322     10.2913
    4.238839  9.911545e+11    0.003322      8.5204
    2.190953  7.645241e+11    0.003322      7.1812
   11.499857  7.295915e+11    0.003322      8.2684
   15.210175  2.267240e+11    0.003322      4.7315
   18.628718  1.770682e+11    0.003322      4.4200
   17.491091  1.430968e+11    0.003322      3.9285
