# i  f_bin_uHz  f_refined_uHz  power
    21      3.026565      2.980610  7.988535e+12
    66      7.316074      7.348950  6.667357e+12
     6      1.579018      1.599785  4.664423e+12
    43      5.096503      5.125187  1.780593e+12
    87      9.342638      9.353614  1.059622e+12
   108     11.369203     11.362082  5.966527e+11
   147     15.132823     15.179773  3.212908e+11
   160     16.387363     16.354132  1.729691e+11
