# i  f_bin_uHz  f_refined_uHz  power
    27      2.664115      2.651410  2.329804e+13
    46      3.835158      3.853899  1.178286e+13
    61      4.759667      4.785079  6.931794e+12
    13      1.801240      1.802370  6.596248e+12
    89      6.479213      6.464959  6.483604e+12
   120      8.389863      8.391254  3.108001e+12
    74      5.554705      5.569957  2.502449e+12
   159     10.793585     10.816219  7.990394e+11
